"Date","Investment Value"
"2015-08-02T00:00:00.000",100
"2015-08-09T00:00:00.000",100
"2015-08-16T00:00:00.000",100
"2015-08-23T00:00:00.000",100
"2015-08-30T00:00:00.000",100
"2015-09-06T00:00:00.000",100
"2015-09-13T00:00:00.000",100
"2015-09-20T00:00:00.000",100
"2015-09-27T00:00:00.000",100
"2015-10-04T00:00:00.000",100
"2015-10-11T00:00:00.000",100
"2015-10-18T00:00:00.000",100
"2015-10-25T00:00:00.000",100
"2015-11-01T00:00:00.000",100
"2015-11-08T00:00:00.000",100
"2015-11-15T00:00:00.000",100
"2015-11-22T00:00:00.000",100
"2015-11-29T00:00:00.000",100
"2015-12-06T00:00:00.000",100
"2015-12-13T00:00:00.000",100
"2015-12-20T00:00:00.000",100
"2015-12-27T00:00:00.000",100
"2016-01-03T00:00:00.000",100
"2016-01-10T00:00:00.000",100
"2016-01-17T00:00:00.000",100
"2016-01-24T00:00:00.000",100
"2016-01-31T00:00:00.000",100
"2016-02-07T00:00:00.000",100
"2016-02-14T00:00:00.000",100
"2016-02-21T00:00:00.000",100
"2016-02-28T00:00:00.000",100
"2016-03-06T00:00:00.000",100
"2016-03-13T00:00:00.000",100
"2016-03-20T00:00:00.000",100
"2016-03-27T00:00:00.000",100
"2016-04-03T00:00:00.000",100
"2016-04-10T00:00:00.000",100
"2016-04-17T00:00:00.000",100
"2016-04-24T00:00:00.000",100
"2016-05-01T00:00:00.000",100
"2016-05-08T00:00:00.000",100
"2016-05-15T00:00:00.000",100
"2016-05-22T00:00:00.000",100
"2016-05-29T00:00:00.000",100
"2016-06-05T00:00:00.000",100
"2016-06-12T00:00:00.000",100
"2016-06-19T00:00:00.000",100
"2016-06-26T00:00:00.000",100
"2016-07-03T00:00:00.000",100
"2016-07-10T00:00:00.000",100
"2016-07-17T00:00:00.000",100
"2016-07-24T00:00:00.000",100
"2016-07-31T00:00:00.000",100
"2016-08-07T00:00:00.000",100
"2016-08-14T00:00:00.000",100
"2016-08-21T00:00:00.000",100
"2016-08-28T00:00:00.000",100
"2016-09-04T00:00:00.000",100
"2016-09-11T00:00:00.000",100
"2016-09-18T00:00:00.000",100
"2016-09-25T00:00:00.000",100
"2016-10-02T00:00:00.000",100
"2016-10-09T00:00:00.000",100
"2016-10-16T00:00:00.000",100
"2016-10-23T00:00:00.000",100
"2016-10-30T00:00:00.000",100
"2016-11-06T00:00:00.000",100
"2016-11-13T00:00:00.000",100
"2016-11-20T00:00:00.000",100
"2016-11-27T00:00:00.000",100
"2016-12-04T00:00:00.000",100
"2016-12-11T00:00:00.000",100
"2016-12-18T00:00:00.000",100
"2016-12-25T00:00:00.000",100
"2017-01-01T00:00:00.000",100
"2017-01-08T00:00:00.000",100
"2017-01-15T00:00:00.000",100
"2017-01-22T00:00:00.000",100
"2017-01-29T00:00:00.000",100
"2017-02-05T00:00:00.000",100
"2017-02-12T00:00:00.000",100
"2017-02-19T00:00:00.000",100
"2017-02-26T00:00:00.000",100
"2017-03-05T00:00:00.000",100
"2017-03-12T00:00:00.000",100
"2017-03-19T00:00:00.000",100
"2017-03-26T00:00:00.000",100
"2017-04-02T00:00:00.000",100
"2017-04-09T00:00:00.000",100
"2017-04-16T00:00:00.000",100
"2017-04-23T00:00:00.000",100
"2017-04-30T00:00:00.000",100
"2017-05-07T00:00:00.000",100
"2017-05-14T00:00:00.000",100
"2017-05-21T00:00:00.000",100
"2017-05-28T00:00:00.000",100
"2017-06-04T00:00:00.000",100
"2017-06-11T00:00:00.000",100
"2017-06-18T00:00:00.000",100
"2017-06-25T00:00:00.000",100
"2017-07-02T00:00:00.000",100
"2017-07-09T00:00:00.000",100
"2017-07-16T00:00:00.000",100
"2017-07-23T00:00:00.000",100
"2017-07-30T00:00:00.000",100
"2017-08-06T00:00:00.000",100
"2017-08-13T00:00:00.000",100
"2017-08-20T00:00:00.000",100
"2017-08-27T00:00:00.000",100
"2017-09-03T00:00:00.000",100
"2017-09-10T00:00:00.000",100
"2017-09-17T00:00:00.000",100
"2017-09-24T00:00:00.000",100
"2017-10-01T00:00:00.000",100
"2017-10-08T00:00:00.000",100
"2017-10-15T00:00:00.000",100
"2017-10-22T00:00:00.000",100
"2017-10-29T00:00:00.000",100
"2017-11-05T00:00:00.000",100
"2017-11-12T00:00:00.000",100
"2017-11-19T00:00:00.000",100
"2017-11-26T00:00:00.000",100
"2017-12-03T00:00:00.000",100
"2017-12-10T00:00:00.000",72.3473782446
"2017-12-17T00:00:00.000",57.3151759401
"2017-12-24T00:00:00.000",62.2110645372
"2017-12-31T00:00:00.000",64.6154044715
"2018-01-07T00:00:00.000",76.5732247525
"2018-01-14T00:00:00.000",78.1657257714
"2018-01-21T00:00:00.000",85.8031237788
"2018-01-28T00:00:00.000",96.8011226439
"2018-02-04T00:00:00.000",94.252056679
"2018-02-11T00:00:00.000",93.404763872
"2018-02-18T00:00:00.000",95.8930202807
"2018-02-25T00:00:00.000",104.1509848698
"2018-03-04T00:00:00.000",112.6907135237
"2018-03-11T00:00:00.000",110.30823953
"2018-03-18T00:00:00.000",107.9612825205
"2018-03-25T00:00:00.000",106.1130981466
"2018-04-01T00:00:00.000",108.7381715056
"2018-04-08T00:00:00.000",111.58897216
"2018-04-15T00:00:00.000",111.5833668926
"2018-04-22T00:00:00.000",140.7572259452
"2018-04-29T00:00:00.000",173.2171741421
"2018-05-06T00:00:00.000",180.712711347
"2018-05-13T00:00:00.000",198.3452177578
"2018-05-20T00:00:00.000",183.6630072003
"2018-05-27T00:00:00.000",196.0953966355
"2018-06-03T00:00:00.000",164.7727402384
"2018-06-10T00:00:00.000",173.920596983
"2018-06-17T00:00:00.000",165.5263647377
"2018-06-24T00:00:00.000",165.2246695967
"2018-07-01T00:00:00.000",161.2164071099
"2018-07-08T00:00:00.000",174.7927034169
"2018-07-15T00:00:00.000",176.8329271685
"2018-07-22T00:00:00.000",185.6717548773
"2018-07-29T00:00:00.000",185.9107101679
"2018-08-05T00:00:00.000",210.8543358525
"2018-08-12T00:00:00.000",219.2817137751
"2018-08-19T00:00:00.000",260.2384326101
"2018-08-26T00:00:00.000",275.6164350497
"2018-09-02T00:00:00.000",264.8253358822
"2018-09-09T00:00:00.000",288.8212528165
"2018-09-16T00:00:00.000",287.650947532
"2018-09-23T00:00:00.000",355.3958677698
"2018-09-30T00:00:00.000",544.9843652693
"2018-10-07T00:00:00.000",571.2096471747
"2018-10-14T00:00:00.000",599.3826035982
"2018-10-21T00:00:00.000",651.3325022662
"2018-10-28T00:00:00.000",786.2634736767
"2018-11-04T00:00:00.000",838.7140897978
"2018-11-11T00:00:00.000",843.729505544
"2018-11-18T00:00:00.000",691.2671394966
"2018-11-25T00:00:00.000",809.3165306167
"2018-12-02T00:00:00.000",848.3903922625
"2018-12-09T00:00:00.000",794.2920654421
"2018-12-16T00:00:00.000",889.6446400729
"2018-12-23T00:00:00.000",966.699763364
"2018-12-30T00:00:00.000",1082.0223921402
"2019-01-06T00:00:00.000",1065.4397660441
"2019-01-13T00:00:00.000",1241.6360715483
"2019-01-20T00:00:00.000",1622.439590048
"2019-01-27T00:00:00.000",1755.7766094988
"2019-02-03T00:00:00.000",1199.8043996494
"2019-02-10T00:00:00.000",1196.4918538012
"2019-02-17T00:00:00.000",1225.0982781511
"2019-02-24T00:00:00.000",1134.7659206761
"2019-03-03T00:00:00.000",954.1809228458
"2019-03-10T00:00:00.000",944.3558138704
"2019-03-17T00:00:00.000",1037.5591433252
"2019-03-24T00:00:00.000",931.0434359454
"2019-03-31T00:00:00.000",941.352120004
"2019-04-07T00:00:00.000",1126.8322676523
"2019-04-14T00:00:00.000",1364.3400480971
"2019-04-21T00:00:00.000",1494.0376129552
"2019-04-28T00:00:00.000",1494.7903457175
"2019-05-05T00:00:00.000",1636.6227600761
"2019-05-12T00:00:00.000",1668.3555841331
"2019-05-19T00:00:00.000",1593.3003422146
"2019-05-26T00:00:00.000",1373.4393768615
"2019-06-02T00:00:00.000",1528.1983275328
"2019-06-09T00:00:00.000",1678.3114526525
"2019-06-16T00:00:00.000",1882.9231059275
"2019-06-23T00:00:00.000",1979.6331858941
"2019-06-30T00:00:00.000",2141.8792730008
"2019-07-07T00:00:00.000",2101.1748748742
"2019-07-14T00:00:00.000",1963.2267045962
"2019-07-21T00:00:00.000",2009.3038109529
"2019-07-28T00:00:00.000",1964.9457607904
"2019-08-04T00:00:00.000",1826.7232435651
"2019-08-11T00:00:00.000",1793.508493768
"2019-08-18T00:00:00.000",1553.6484159946
"2019-08-25T00:00:00.000",1518.937951892
"2019-09-01T00:00:00.000",1173.9112907502
"2019-09-08T00:00:00.000",1347.4501776376
"2019-09-15T00:00:00.000",1398.7441638742
"2019-09-22T00:00:00.000",1247.3932337395
"2019-09-29T00:00:00.000",1251.5336577929
"2019-10-06T00:00:00.000",1242.8495839754
"2019-10-13T00:00:00.000",1424.7521636729
"2019-10-20T00:00:00.000",1551.294680832
"2019-10-27T00:00:00.000",1422.0793166025
"2019-11-03T00:00:00.000",1333.0995840379
"2019-11-10T00:00:00.000",1006.2937542133
"2019-11-17T00:00:00.000",875.3277585365
"2019-11-24T00:00:00.000",558.6979060711
"2019-12-01T00:00:00.000",566.7751217198
"2019-12-08T00:00:00.000",780.223448778
"2019-12-15T00:00:00.000",750.4824061788
"2019-12-22T00:00:00.000",668.1002430825