"name","country","weightclasskg"
"Adaja Noppers","Canada","30"
"Adam Ramzy","Canada","83"
"Adam Taylor","USA","40"
"Aigul Sitdikova","Russia","52"
"Aleksandr Chemeris","Russia","43"
"Aleksandr Leskov","Russia","80"
"Aleksey Shevtsov","Russia","43"
"Alena Krčmářová","Czechia","72+"
"Alexandra Gallagher","USA","35"
"Alexandra Watt","USA","67.5"
"Alexis Jones #1","USA","84+"
"Alexis Maher","USA","74"
"Anastasiya Nikitina","Russia","40"
"Andrea Víznerová","Czechia","72+"
"Andrew Pond #2","USA","110"
"Andrey Frolov","Russia","49"
"Andrey Konovalov #1","Russia","120+"
"Andrii Shevchenko","Ukraine","105+"
"Andy Bui","USA","53"
"Angel Flores #1","USA","100"
"Anna Sørlie Heranger","Norway","76+"
"Antti Savolainen","Finland","66"
"Ashten Salazar","USA","48"
"Beate Normann-Escher","Germany","+"
"Blaine Sumner","USA","120+"
"Bodie LaCoe","USA","53"
"Bonica Brown","USA","84+"
"Boris Komissarov","Russia","53"
"Bradley LaChapelle","USA","40"
"Brady Dibble","USA","44"
"Brayden Bromonsky","USA","53"
"Brennan Fallon","USA","43"
"Brittany Schlater","Canada","84+"
"Brixton Maizels","USA","44"
"Cal Knight","USA","30"
"Calvin Krause","USA","30"
"Cash McVey","USA","35"
"Celeste Godinez","USA","40"
"Chance Carter","USA","30"
"Chase Kays","Canada","30"
"Christopher Diete","Germany","+"
"Christopher Tran #1","USA","59"
"CJ Shuford","USA","59"
"Claire Mainous","USA","40"
"Dana Pukhova","Russia","63+"
"Daniela Kolesnik","Russia","57"
"Daniil Postnikov","Russia","48"
"Danyil Hapon","Ukraine","83+"
"Danylo Kovalyov","Ukraine","105"
"Daria Efimtseva","Russia","84+"
"Daria Rusanenko","Ukraine","76+"
"Dariia Brazhnyk","Ukraine","43"
"Dariia Holovko","Ukraine","43"
"Denis Olefir","Russia","74"
"Dmitriy Kuzmin","Russia","72"
"Dmitriy Lipatov","Russia","48"
"Dmitriy Lukin","Russia","43"
"Dmitriy Mironov","Russia","65"
"Dmitry Inzarkin","Russia","93"
"Elaine Bradley","USA","84+"
"Eline Skalleberg Jørgensen","Norway","69"
"Eliška Trnková","Czechia","69+"
"Emilia McConnell","USA","90"
"Evgeniy Arkhipov","Russia","88"
"Evgeniy Kazakov","Russia","43"
"Evgeniy Vasyukov","Russia","83"
"Filip Porteš","Czechia","105+"
"Frank Barthel","Germany","+"
"Gage Brown #3","USA","30"
"Gavin Richardson","USA","30"
"Gia Griffith","USA","35"
"Gwen Marsden","England","43"
"Hana Takáčová","Czechia","72+"
"Hayston Scott","USA","44"
"Hildeborg Juvet Hugdal","Norway","84+"
"Ian Bell","USA","105"
"Ilya Frolov","Russia","43"
"Ilya Marichev","Russia","66"
"Irina Ivanova #1","Russia","47"
"Irina Mikhaylova","Russia","61"
"Isabella Martin","USA","40"
"Ivan Seregin","Russia","93+"
"Jalil Parrott","USA","40"
"James Vang","USA","66"
"Jan Meurer","Germany","+"
"Jan Vítek","Czechia","105+"
"Jasmine Canonizado","USA","35"
"Jaxon Eyth","USA","35"
"Jelynn Cheatham","USA","43"
"Jessica Espinal","USA","47"
"Joevani Martinez","USA","30"
"Johannes Becker","Germany","+"
"Joseph Cappellino","USA","120+"
"Justin Chapa","USA","53"
"Kai Reynolds","Canada","30"
"Kal-El Jones","USA","35"
"Kelsey McCarthy","USA","69"
"Kensington Maizels","USA","35"
"Kim Ricarda Frerichs","Germany","+"
"Kimberly Johnson #1","USA","57"
"Kirill Grishchenko","Russia","74+"
"Kirill Karelin","Russia","93+"
"Kirill Krut","Russia","59"
"Kirill Meshkauskas","Russia","93+"
"Kjell Egil Bakkelund","Norway","74"
"Klaus Griesch","Germany","+"
"Knute Douglas","USA","83"
"Konstantin Danilov","Russia","66"
"Kostiantyn Musiienko","Ukraine","93"
"Landon Hauser","USA","44"
"Larysa Soloviova #1","Ukraine","63"
"Lidiia Zaiats","Russia","72"
"Louis Brailey","USA","44"
"Maksim Korobeynikov","Russia","54"
"Maksim Tulyaev","Russia","48"
"Manuel Gonnermann","Germany","+"
"Marco Schmid-Gursky","Germany","+"
"Marte Elverum","Norway","76"
"Maxton Lyons","USA","35"
"Michaela Kanátová","Czechia","69+"
"Miroslava Horáková","Czechia","76+"
"Mykola Barannik","Ukraine","83"
"Natali Dominguez","USA","43"
"Natalia Salnikova","Russia","52"
"Natalie Hanson","USA","84"
"Nikita Palamarchuk","Russia","105+"
"Noah Horstman","USA","35"
"Nolan Smith","USA","40"
"Oleksandr Rubets","Ukraine","105"
"Oleksiy Bychkov","Ukraine","120"
"Parker Maizels","USA","30"
"Patrick Sun","USA","35"
"Pavel Frolov","Russia","43"
"Petr Romanov","Russia","48"
"Petra Švadlenková","Czechia","72+"
"Rebecca Holcomb","USA","84+"
"Rhaea Stinn","Canada","72"
"Ronny Kreitl","Germany","+"
"Ryan Horner","USA","40"
"Ryker Mattes","USA","44"
"Ryley Kornelsen","Canada","69+"
"Seamus Finn Hagen","USA","35"
"Sergei Gaishinetc","Russia","74"
"Sergey Denisov","Russia","65"
"Sergey Fedosienko","Russia","59"
"Sergey Gladkikh","Russia","66"
"Sergey Pozynenko","Russia","80"
"Sergey Vasilev","Russia","93+"
"Sergey Voronin","Russia","65"
"Sergii Bilyi","Ukraine","105"
"Sonja Stefanie Krüger","Germany","69"
"Stafford Agee","USA","53"
"Steve Mann #1","USA","105+"
"Svetlana Chesnokova","Russia","63+"
"Tabea Wiedenhofer","Germany","+"
"Tatyana Savchenko","Russia","45"
"Taylor LaChapelle","USA","63"
"Tetiana Bila","Ukraine","47"
"Tetyana Melnyk","Ukraine","76"
"Tobias Zinserling","Germany","+"
"Tony Cliffe","England","105+"
"Trentyn Ostrander","USA","40"
"Ute Hänschke","Germany","+"
"Valérie von Gleichen","Germany","76+"
"Vanessa Koslowski","Germany","+"
"Veronika Šigutová","Czechia","69+"
"Veronika Zemková","Czechia","69+"
"Viktor Leskovets","Ukraine","105"
"Vincent Curth","Germany","+"
"Vitaliy Ivanov","Russia","93+"
"Vladimir Zhivodyorov","Russia","48"
"Vladislav Shaibekov","Russia","83"
"Volodymyr Rysiev","Ukraine","93"
"Zaan Noppers","Canada","30"
